0 ,Acoustic_guitar
1 ,Applause
2 ,Bark
3 ,Bass_drum
4 ,Burping_or_eructation
5 ,Bus
6 ,Cello
7 ,Chime
8 ,Clarinet
9 ,Computer_keyboard
10,Cough
11,Cowbell
12,Double_bass
13,Drawer_open_or_close
14,Electric_piano
15,Fart
16,Finger_snapping
17,Fireworks
18,Flute
19,Glockenspiel
20,Gong
21,Gunshot_or_gunfire
22,Harmonica
23,Hi-hat
24,Keys_jangling
25,Knock
26,Laughter
27,Meow
28,Microwave_oven
29,Oboe
30,Saxophone
31,Scissors
32,Shatter
33,Snare_drum
34,Squeak
35,Tambourine
36,Tearing
37,Telephone
38,Trumpet
39,Violin_or_fiddle
40,Writing
